,ID,MAASQ1_1_6,MAASQ2_1_6,MAASQ3_1_6,MAASQ4_1_6,MAASQ5_1_6,MAASQ6_1_6,MAASQ7_1_6,MAASQ8_1_6,MAASQ9_1_6,MAASQ10_1_6,MAASQ11_1_6,MAASQ12_1_6,MAASQ13_1_6,MAASQ14_1_6,MAASQ15_1_6,SPANEQ1_1_5,SPANEQ2_1_5,SPANEQ3_1_5,SPANEQ4_1_5,SPANEQ5_1_5,SPANEQ6_1_5,SPANEQ7_1_5,SPANEQ8_1_5,SPANEQ9_1_5,SPANEQ10_1_5,SPANEQ11_1_5,SPANEQ12_1_5,PWBQ1_1_7,PWBQ2_1_7,PWBQ3_1_7,PWBQ4_1_7,PWBQ5_1_7,PWBQ6_1_7,PWBQ7_1_7,PWBQ8_1_7,PSTQ1_0_1,PSTQ2_0_1,PSTQ3_0_1,PSTQ4_0_1,PSTQ5_0_1,PSTQ6_0_1,PSTQ7_0_1,PSTQ8_0_1,PSTQ9_0_1,PSTQ10_0_1,PSTQ11_0_1,PSTQ12_0_1,PSTQ13_0_1,PSTQ14_0_1,PSTQ15_0_1,PSTQ16_0_1,PSTQ17_0_1,PSTQ18_0_1,PSTQ19_0_1,PSTQ20_0_1,PSTQ21_0_1,PSTQ22_0_1,SEQ1_1_4,SEQ2_1_4,SEQ3_1_4,SEQ4_1_4,SEQ5_1_4,SEQ6_1_4,SEQ7_1_4,SEQ8_1_4,SEQ9_1_4,SEQ10_1_4,PPHQ1_1_5,PPHQ2_1_5,PPHQ3_1_5,PPHQ4_1_5,PPHQ5_1_5,PPHQ6_1_5,PPHQ7_1_5,PPRQ1_1_10,PPRQ2_1_10,PPRQ3_1_10,PPOQ1_1_7,Age,Gender_0_1,Occupation_0_1,Living_1_4,t,Experiment_1_2
1,1,Somewhat infrequently,Very infrequently,Somewhat infrequently,Almost always,Very frequently,Very frequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Agree,Agree,Slightly agree,Agree,Agree,Agree,Slightly agree,Agree,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Not true,Rather true,Rather true,Rather true,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Some of the time,A little of the time,5,8,7,You were about average,39,2,2,3,0,1
2,2,Somewhat frequently,Very infrequently,Very frequently,Very infrequently,Somewhat frequently,Very infrequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Almost never,Very frequently,Somewhat infrequently,Almost never,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Rarely,Often,Very often or always,Very rarely or never,Slightly agree,Agree,Mixed or neither agree nor disagree,Slightly agree,Slightly disagree,Strongly agree,Strongly agree,Mixed or neither agree nor disagree,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Some of the time,A little of the time,Most of the time,Some of the time,A little of the time,Most of the time,None of the time,9,6,5,You were about average,30,1,2,1,0,1
3,3,Very infrequently,Very infrequently,Somewhat infrequently,Very infrequently,Very infrequently,Somewhat infrequently,Very infrequently,Very infrequently,Almost never,Almost never,Very infrequently,Almost never,Somewhat infrequently,Very infrequently,Somewhat frequently,Often,Very often or always,Often,Often,Often,Very often or always,Very often or always,Very often or always,Very often or always,Often,Often,Sometimes,Slightly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Rather true,Rather true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Some of the time,Some of the time,A little of the time,A little of the time,None of the time,Some of the time,None of the time,8,10,7,You were about average,50,2,2,4,0,1
4,4,Very infrequently,Almost never,Somewhat infrequently,Very frequently,Almost always,Almost always,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Often,Often,Sometimes,Often,Often,Often,Often,Often,Very often or always,Very often or always,Often,Sometimes,Agree,Slightly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Rather true,Exactly true,Rather true,Rather true,Most of the time,A little of the time,Most of the time,A little of the time,A little of the time,A little of the time,Some of the time,7,8,8,You were somewhat better than other workers,57,2,2,1,0,1
6,5,Somewhat infrequently,Somewhat infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Almost always,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,None of the time,8,7,6,You were about average,43,1,2,3,0,1
7,5,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,A little of the time,Most of the time,8,8,8,You were about average,43,1,2,3,1,1
8,8,Somewhat infrequently,Somewhat frequently,Very frequently,Very frequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Very frequently,Very infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Often,Very often or always,Often,Agree,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Exactly true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Exactly true,Rather true,Rather true,Rather true,Some of the time,A little of the time,A little of the time,Some of the time,A little of the time,Some of the time,None of the time,8,6,7,You were somewhat better than other workers,25,1,1,3,0,1
9,15,Somewhat frequently,Almost never,Somewhat frequently,Very infrequently,Somewhat frequently,Very infrequently,Very frequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat frequently,Almost never,Very frequently,Very infrequently,Somewhat infrequently,Often,Rarely,Often,Rarely,Often,Sometimes,Rarely,Very rarely or never,Rarely,Rarely,Very rarely or never,Sometimes,Agree,Agree,Mixed or neither agree nor disagree,Agree,Strongly agree,Strongly agree,Slightly disagree,Mixed or neither agree nor disagree,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Exactly true,Exactly true,Hardly true,Hardly true,Rather true,Hardly true,Rather true,Exactly true,Rather true,Hardly true,Most of the time,None of the time,Some of the time,Some of the time,None of the time,Some of the time,A little of the time,8,8,7,You were a little better than other workers,22,1,1,4,0,1
11,16,Very frequently,Almost never,Somewhat frequently,Almost never,Very frequently,Almost always,Almost always,Almost always,Very frequently,Very frequently,Very infrequently,Very infrequently,Almost always,Almost always,Almost always,Rarely,Very rarely or never,Sometimes,Very rarely or never,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Very rarely or never,Very often or always,Mixed or neither agree nor disagree,Strongly disagree,Agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Exactly true,Hardly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,Some of the time,Most of the time,A little of the time,None of the time,Some of the time,None of the time,9,9,7,You were about average,40,2,2,4,0,1
12,17,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Almost never,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Slightly agree,Mixed or neither agree nor disagree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Rather true,Some of the time,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,8,7,8,You were about average,24,2,1,4,0,1
