"","ID","resp","experiment","Seq"
"1",1,8,0,1
"2",1,7,0,2
"3",1,3,0,3
"4",1,5,0,4
"5",1,6,0,5
"6",2,6,0,1
"7",2,7,0,2
"8",2,8,0,3
"9",2,6,0,4
"10",2,7,0,5
"11",2,8,0,6
"12",2,8,0,7
"13",3,6,0,1
"14",3,7,0,2
"15",3,8,0,3
"16",3,7,0,4
"17",3,5,0,5
"18",3,8,0,6
"19",4,8,0,1
"20",4,8,0,2
"21",4,7,0,3
"22",4,7,0,4
"23",4,9,0,5
"24",4,8,0,6
"25",4,7,0,7
"26",4,8,0,8
"27",4,8,0,9
"28",4,8,0,10
"29",4,7,0,11
"30",4,7,0,12
"31",4,6,0,13
"32",4,7,0,14
"33",4,7,0,15
"34",4,8,0,16
"1031",5,7,1,1
"1032",5,7,1,2
"1033",5,7,1,3
"1034",5,7,1,4
"1035",5,6,1,5
"1036",5,7,1,6
"1037",5,8,1,7
"1038",5,8,1,8
"1039",5,5,1,9
"1040",5,7,1,10
"1041",5,8,1,11
"1042",5,7,1,12
"1043",5,7,1,13
"1044",5,7,1,14
"1045",5,9,1,15
"1046",5,8,1,16
"1047",5,8,1,17
"1048",5,7,1,18
"1049",5,5,1,19
"1050",5,8,1,20
"1051",5,8,1,21
"1052",5,9,1,22
"1053",5,8,1,23
"1054",5,9,1,24
"1055",5,8,1,25
"1056",5,8,1,26
"1057",5,7,1,27
"1058",5,8,1,28
"1059",5,8,1,29
"1060",5,8,1,30
"1061",5,8,1,31
"1062",5,8,1,32
"1063",5,8,1,33
"1064",5,8,1,34
"1065",5,8,1,35
"1066",5,9,1,36
"1067",5,8,1,37
"1068",5,8,1,38
"1069",5,8,1,39
"1070",5,8,1,40
"1071",5,8,1,41
"1072",5,9,1,42
"1073",5,8,1,43
"1074",5,9,1,44
"1075",5,9,1,45
"1076",5,9,1,46
"1077",5,9,1,47
"1078",5,7,1,48
"1079",5,8,1,49
"1080",5,9,1,50
"1081",5,9,1,51
"1082",5,9,1,52
"1083",5,7,1,53
"1084",5,9,1,54
"1085",5,9,1,55
"1086",5,9,1,56
"1087",5,9,1,57
"1088",6,8,1,1
"1089",6,8,1,2
"35",7,6,0,1
"36",7,7,0,2
"37",7,6,0,3
"38",7,6,0,4
"39",7,8,0,5
"40",7,8,0,6
"41",7,7,0,7
"42",7,7,0,8
"43",7,7,0,9
"44",7,7,0,10
"45",7,5,0,11
"46",7,7,0,12
"47",7,7,0,13
"48",7,7,0,14
"49",7,7,0,15
"50",7,9,0,16
"51",7,9,0,17
"52",7,5,0,18
"53",7,5,0,19
"54",7,4,0,20
"55",7,4,0,21
"56",7,8,0,22
"57",7,8,0,23
"58",7,10,0,24
"59",7,4,0,25
"60",7,4,0,26
"61",7,7,0,27
"62",7,4,0,28
"63",7,4,0,29
"64",7,6,0,30
"65",7,8,0,31
"66",7,7,0,32
"67",7,7,0,33
"68",7,7,0,34
"69",7,7,0,35
"1090",8,8,1,1
"1091",8,8,1,2
"1092",8,8,1,3
"1093",9,7,1,1
"1094",10,7,1,1
"1095",10,8,1,2
"1096",10,7,1,3
"1097",10,10,1,4
"1098",10,8,1,5
"1099",10,7,1,6
"1100",10,8,1,7
"1101",10,7,1,8
"1102",10,9,1,9
"1103",10,7,1,10
"1104",10,6,1,11
"1105",10,6,1,12
"1106",10,5,1,13
"1107",10,8,1,14
"1108",10,9,1,15
"1109",10,10,1,16
"1110",10,8,1,17
"1111",10,7,1,18
"1112",10,9,1,19
"1113",10,7,1,20
"1114",10,9,1,21
"1115",11,5,1,1
"1116",11,9,1,2
"1117",11,8,1,3
"1118",11,7,1,4
"1119",11,8,1,5
"1120",11,7,1,6
"70",12,7,0,1
"71",12,8,0,2
"72",12,9,0,3
"73",13,9,0,1
"74",14,8,0,1
"75",14,7,0,2
"76",14,3,0,3
"77",15,8,0,1
"78",15,6,0,2
"79",15,7,0,3
"80",15,7,0,4
"81",16,4,0,1
"82",16,7,0,2
"83",16,3,0,3
"84",16,6,0,4
"85",16,7,0,5
"86",17,5,0,1
"87",17,7,0,2
"88",17,7,0,3
"89",17,7,0,4
"90",17,6,0,5
"91",17,6,0,6
"92",17,7,0,7
"93",17,6,0,8
"94",17,8,0,9
