"","ID","WQ1_1_6","WQ2_1_6","WQ3_1_6","WQ4_1_6","WQ5_1_6","experiment","Seq"
"1",1,4,4,4,3,2,0,1
"2",1,2,2,4,3,4,0,2
"3",1,4,4,4,4,5,0,3
"4",1,4,4,4,4,5,0,4
"5",2,5,4,4,4,2,0,1
"6",2,4,4,5,5,4,0,2
"7",3,2,2,4,5,5,0,1
"8",3,2,2,5,5,6,0,2
"9",3,3,2,5,4,6,0,3
"10",4,4,2,4,2,4,0,1
"11",4,5,2,4,2,5,0,2
"12",4,4,4,4,4,4,0,3
"13",4,5,4,4,4,5,0,4
"14",4,4,2,2,4,4,0,5
"15",4,4,4,2,2,4,0,6
"16",4,5,4,5,3,6,0,7
"17",5,4,5,4,5,5,1,1
"18",5,4,4,5,6,5,1,2
"19",5,5,5,5,5,5,1,3
"20",5,5,5,6,5,5,1,4
"21",5,6,5,5,6,5,1,5
"22",5,5,5,6,4,5,1,6
"23",5,6,6,5,5,5,1,7
"24",5,5,5,5,4,5,1,8
"25",6,3,2,2,4,5,1,1
"26",7,2,4,3,5,2,0,1
"27",7,2,4,3,5,2,0,2
"28",7,4,4,2,5,4,0,3
"29",7,2,2,2,4,4,0,4
"30",7,2,2,2,4,4,0,5
"31",8,5,5,5,5,5,1,1
"32",8,5,5,5,5,5,1,2
"33",9,2,3,1,3,1,1,1
"34",10,6,5,5,4,5,1,1
"35",10,5,5,4,2,5,1,2
"36",11,5,2,5,4,6,1,1
"37",11,4,4,5,2,5,1,2
"38",11,5,2,4,2,5,1,3
"39",12,3,3,3,2,4,0,1
"40",12,4,4,3,5,5,0,2
"41",12,3,3,3,3,2,0,3
"42",13,4,4,4,4,4,1,1
"43",13,2,2,4,2,2,1,2
"44",13,4,4,2,2,2,1,3
"45",13,4,4,2,4,4,1,4
"46",14,5,5,5,2,6,0,1
"47",14,5,5,6,4,5,0,2
"48",14,4,5,6,4,6,0,3
"49",14,5,5,6,4,6,0,4
"50",14,5,5,5,4,6,0,5
"51",14,5,4,4,4,6,0,6
"52",15,3,3,2,1,2,0,1
"53",15,3,3,2,1,2,0,2
"54",15,3,3,3,3,3,0,3
"55",15,3,2,3,3,2,0,4
"56",15,2,2,2,2,2,0,5
"57",15,2,2,2,2,2,0,6
"58",15,2,2,2,2,2,0,7
"59",15,2,2,2,2,2,0,8
"60",15,4,4,2,2,2,0,9
"61",15,4,4,2,2,4,0,10
"62",15,4,4,2,2,2,0,11
"63",16,4,3,3,3,2,0,1
"64",16,4,2,4,3,4,0,2
"65",16,4,4,4,4,4,0,3
"66",16,4,5,4,2,5,0,4
"67",16,4,4,2,2,5,0,5
"68",16,5,4,2,3,5,0,6
"69",16,4,4,5,5,4,0,7
"70",16,4,5,2,4,5,0,8
"71",16,2,2,2,2,4,0,9
"72",16,2,2,3,3,4,0,10
"73",16,4,4,4,2,5,0,11
"74",17,2,1,6,3,5,0,1
"75",17,2,1,6,3,5,0,2
"76",17,2,1,4,3,5,0,3
"77",17,4,3,5,3,6,0,4
"78",17,4,2,6,2,6,0,5
"79",17,5,1,6,3,5,0,6
"80",17,5,2,6,3,6,0,7
"81",18,4,3,3,3,3,1,1
"82",18,2,2,2,4,4,1,2
"83",19,3,3,3,2,4,0,1
"84",19,2,2,4,4,5,0,2
"85",19,3,3,3,3,4,0,3
"86",19,5,4,4,5,6,0,4
"87",19,2,2,2,4,5,0,5
"88",19,4,4,4,4,5,0,6
"89",19,5,5,6,5,6,0,7
"90",20,3,3,3,3,5,0,1
"91",20,2,3,2,1,3,0,2
"92",20,4,4,2,3,3,0,3
"93",20,2,2,2,2,4,0,4
"94",20,2,2,3,3,2,0,5
"95",20,2,2,2,2,4,0,6
"96",20,5,5,4,2,5,0,7
"97",20,2,3,3,3,3,0,8
"98",20,2,4,2,2,2,0,9
"99",20,3,4,2,2,4,0,10
"100",20,4,2,2,2,2,0,11
"101",20,2,2,4,2,4,0,12
"102",21,4,2,2,4,4,1,1
"103",21,3,3,3,3,4,1,2
"104",22,5,6,6,6,6,1,1
"105",22,6,6,5,6,6,1,2
"106",23,5,2,3,2,6,1,1
"107",24,6,5,5,5,6,0,1
"108",25,4,3,5,4,5,0,1
"109",25,4,3,5,4,6,0,2
"110",25,4,2,3,2,5,0,3
"111",25,2,2,5,4,6,0,4
"112",25,5,5,6,4,5,0,5
"113",25,5,5,4,4,5,0,6
"114",25,5,4,3,5,5,0,7
"115",25,5,5,5,5,5,0,8
"116",25,2,4,5,4,5,0,9
"117",25,5,5,5,5,5,0,10
"118",25,4,4,4,2,4,0,11
"119",25,5,5,4,2,5,0,12
"120",26,2,3,3,3,3,0,1
"121",26,4,4,3,3,2,0,2
"122",27,4,4,4,4,2,0,1
"123",27,5,2,5,4,5,0,2
"124",27,5,5,5,5,4,0,3
"125",27,2,3,2,2,3,0,4
"126",27,5,2,5,4,5,0,5
"127",27,3,3,4,4,2,0,6
"128",27,2,2,2,3,4,0,7
"129",27,5,4,5,4,5,0,8
"130",27,6,6,5,5,5,0,9
"131",27,6,5,5,6,5,0,10
"132",27,4,5,5,5,5,0,11
"133",28,2,3,2,3,5,0,1
"134",28,4,4,4,2,4,0,2
"135",28,2,2,2,3,2,0,3
"136",28,2,2,2,2,2,0,4
"137",28,2,4,2,4,4,0,5
"138",28,4,4,4,2,4,0,6
"139",29,2,4,4,5,2,0,1
"140",30,3,3,1,1,3,1,1
"141",30,3,3,3,1,3,1,2
"142",31,5,4,5,4,4,0,1
"143",31,4,4,2,2,4,0,2
"144",31,5,4,5,4,4,0,3
"145",31,4,4,4,4,4,0,4
"146",31,5,4,5,4,5,0,5
"147",31,5,5,4,4,5,0,6
"148",31,3,2,2,3,3,0,7
"149",31,4,4,2,2,4,0,8
"150",31,5,5,5,4,4,0,9
"151",31,4,4,4,3,4,0,10
"152",31,4,5,4,4,4,0,11
"153",31,4,4,4,2,4,0,12
"154",32,4,5,5,6,5,0,1
"155",33,5,5,6,4,6,1,1
"156",34,2,2,2,3,4,0,1
"157",34,4,2,2,3,2,0,2
"158",34,5,4,4,4,5,0,3
"159",34,4,4,2,2,4,0,4
"160",34,4,2,2,3,4,0,5
"161",34,2,2,2,3,2,0,6
"162",34,4,4,4,4,4,0,7
"163",34,5,4,4,4,4,0,8
"164",34,5,4,4,4,4,0,9
"165",34,2,2,2,2,2,0,10
"166",35,4,4,5,4,4,1,1
"167",35,4,2,4,2,4,1,2
"168",35,4,4,5,5,4,1,3
"169",35,5,4,5,5,5,1,4
"170",35,4,4,5,5,2,1,5
"171",36,4,5,3,1,2,1,1
"172",36,2,4,2,5,4,1,2
"173",36,2,2,2,4,4,1,3
"174",36,4,4,2,4,4,1,4
"175",36,5,5,4,5,4,1,5
"176",36,4,4,4,2,5,1,6
"177",36,4,4,4,4,4,1,7
"178",36,4,4,4,2,4,1,8
"179",37,4,2,5,2,6,1,1
"180",37,4,2,5,4,6,1,2
"181",37,4,3,4,2,6,1,3
"182",37,4,4,4,4,6,1,4
"183",37,5,4,5,5,6,1,5
"184",37,4,2,5,4,6,1,6
"185",37,4,4,4,4,6,1,7
"186",37,4,4,5,5,6,1,8
"187",38,5,5,5,4,5,1,1
"188",39,4,2,2,5,4,1,1
"189",40,5,3,4,4,5,0,1
"190",40,4,3,3,2,4,0,2
"191",40,5,4,4,4,5,0,3
"192",40,5,3,5,2,4,0,4
"193",40,4,4,4,4,5,0,5
"194",40,5,2,4,4,4,0,6
"195",40,4,1,3,5,4,0,7
"196",40,5,2,4,4,5,0,8
"197",40,5,3,4,2,4,0,9
"198",40,5,5,5,4,6,0,10
"199",41,2,3,2,1,2,0,1
"200",41,2,2,3,1,5,0,2
"201",41,2,2,3,1,5,0,3
"202",41,4,3,2,1,2,0,4
"203",41,2,4,3,1,4,0,5
"204",41,4,4,3,1,5,0,6
"205",41,3,3,1,1,3,0,7
"206",41,2,4,1,1,2,0,8
"207",41,3,2,2,1,3,0,9
"208",41,2,3,3,1,3,0,10
"209",41,3,3,1,1,3,0,11
"210",41,3,3,1,1,2,0,12
"211",42,5,4,2,4,4,1,1
"212",43,4,4,2,1,5,0,1
"213",43,2,3,3,1,4,0,2
"214",43,2,3,3,1,4,0,3
"215",43,2,2,2,1,4,0,4
"216",43,2,3,3,1,2,0,5
"217",43,3,3,3,1,2,0,6
"218",43,4,2,2,1,4,0,7
"219",43,3,3,2,1,4,0,8
"220",43,4,2,3,1,4,0,9
"221",43,3,2,3,1,2,0,10
"222",44,3,3,2,3,3,0,1
"223",45,4,4,3,5,4,0,1
"224",45,4,4,4,5,6,0,2
"225",45,5,4,4,4,5,0,3
"226",46,5,4,5,5,5,0,1
"227",46,5,5,5,2,5,0,2
"228",46,4,2,2,2,4,0,3
"229",46,5,5,4,4,5,0,4
"230",46,6,6,5,6,6,0,5
"231",47,2,3,3,3,3,0,1
"232",48,5,5,5,5,6,0,1
"233",48,6,5,5,5,6,0,2
"234",48,6,5,5,5,6,0,3
"235",48,5,5,5,5,5,0,4
"236",49,4,3,4,4,4,0,1
"237",50,4,4,2,4,2,1,1
"238",50,5,4,5,4,2,1,2
"239",51,2,2,2,3,5,0,1
"240",51,4,4,4,4,5,0,2
"241",51,2,2,2,4,4,0,3
"242",51,2,4,4,4,5,0,4
"243",52,2,2,3,2,4,1,1
"244",53,4,2,2,4,4,1,1
"245",53,5,4,5,5,2,1,2
"246",53,5,4,5,2,4,1,3
"247",53,4,2,2,3,3,1,4
"248",54,5,5,5,2,4,0,1
"249",54,5,5,4,2,4,0,2
"250",55,2,2,2,2,4,0,1
"251",55,2,2,2,5,5,0,2
"252",55,2,2,2,2,5,0,3
"253",55,2,2,2,2,5,0,4
"254",55,2,2,2,2,5,0,5
"255",55,2,2,2,2,5,0,6
"256",55,4,4,4,4,5,0,8
"257",55,4,4,4,4,6,0,9
"258",55,2,2,2,4,5,1,10
"259",56,4,5,5,5,5,1,1
"260",57,3,3,3,3,3,0,1
"261",57,3,3,3,3,3,0,2
"262",57,3,2,1,4,1,0,3
"263",57,3,2,3,4,3,0,4
"264",58,5,4,4,4,2,0,1
"265",59,2,2,3,3,4,1,1
"266",59,3,3,3,3,3,1,2
"267",59,2,2,2,3,2,1,3
"268",60,5,5,4,5,6,1,1
"269",60,5,5,4,5,5,1,2
"270",60,4,4,2,5,5,1,3
"271",60,5,5,4,5,5,1,4
"272",60,4,5,4,5,5,1,5
"273",60,4,4,4,5,5,1,6
"274",60,5,5,4,5,5,1,7
"275",61,2,4,4,1,2,0,1
"276",61,2,2,2,2,2,0,2
"277",61,5,5,2,2,4,0,3
"278",62,5,4,3,1,4,1,1
"279",62,4,3,3,1,4,1,2
"280",62,2,3,2,1,4,1,3
"281",62,4,2,3,1,4,1,4
"282",62,2,3,3,1,2,1,5
"283",62,2,3,3,1,2,1,6
"284",62,5,5,5,3,5,1,7
"285",62,4,4,4,3,5,1,8
"286",63,4,4,5,5,4,1,1
"287",64,5,5,6,5,6,0,1
"288",64,4,3,5,5,3,0,2
"289",64,5,4,5,4,5,0,3
"290",64,5,5,2,2,4,0,4
"291",64,4,2,3,3,2,0,5
"292",64,4,2,4,2,4,0,6
"293",64,4,2,4,5,5,0,7
"294",64,4,2,4,2,5,0,8
"295",65,4,4,3,3,5,0,1
"296",65,5,4,2,3,2,0,2
"297",65,2,3,2,3,2,0,3
"298",65,3,3,2,2,3,0,4
"299",65,4,4,4,2,4,0,5
"300",65,4,4,2,2,3,0,6
"301",65,5,4,4,4,2,0,7
"302",65,4,5,4,3,4,0,8
"303",65,4,4,4,4,4,0,9
"304",66,3,2,3,2,4,0,1
"305",66,5,4,4,4,5,0,2
"306",66,4,3,3,3,4,0,3
"307",66,5,5,4,4,5,0,4
"308",66,2,2,2,3,3,0,5
"309",66,4,4,2,2,4,0,6
"310",66,2,2,2,5,4,0,7
"311",66,4,4,4,5,5,0,8
"312",66,5,5,5,5,2,0,9
"313",66,5,5,5,5,4,0,10
"314",66,5,5,4,2,2,0,11
"315",67,5,6,4,4,5,0,1
"316",67,5,5,4,4,5,0,2
"317",68,2,2,4,3,2,0,1
"318",68,4,4,2,1,3,0,2
"319",68,4,4,4,3,2,0,3
"320",68,4,4,4,3,4,0,4
"321",69,4,4,4,2,2,1,1
"322",69,4,4,2,4,4,1,2
"323",69,4,4,2,4,4,1,3
"324",69,4,4,4,4,2,1,4
"325",69,4,5,4,2,2,1,5
"326",69,4,4,2,5,4,1,6
"327",70,4,2,2,1,4,1,1
"328",71,1,3,3,1,2,1,1
"329",71,2,3,4,1,3,1,2
"330",71,3,3,2,1,3,1,3
"331",71,2,2,2,1,3,1,4
"332",71,2,2,2,1,3,1,5
"333",71,2,2,2,1,3,1,6
"334",71,4,4,4,1,3,1,7
"335",72,4,3,4,1,5,1,1
"336",73,4,4,4,2,4,1,1
"337",73,4,4,4,2,4,1,2
"338",74,5,4,4,4,4,0,1
"339",74,2,2,2,2,3,0,2
"340",74,2,2,2,2,5,0,3
"341",74,4,4,2,4,4,0,4
"342",74,4,5,4,5,5,0,5
"343",74,4,2,2,5,5,0,6
"344",75,3,3,1,1,3,1,1
"345",75,4,3,1,1,5,1,2
"346",76,4,5,5,2,5,1,1
"347",76,5,4,5,4,5,1,2
"348",76,5,5,5,5,5,1,3
"349",76,4,4,4,4,4,1,4
"350",76,5,5,4,4,5,1,5
"351",76,5,5,5,4,5,1,6
"352",77,5,4,4,5,4,0,1
"353",77,5,5,5,5,4,0,2
"354",77,4,4,4,2,4,0,3
"355",77,5,5,5,5,4,0,4
"356",77,4,4,4,4,2,0,5
"357",77,4,4,4,4,2,0,6
"358",77,4,4,4,4,4,0,7
"359",77,4,5,4,5,5,0,8
"360",77,5,5,5,5,5,0,9
"361",77,5,5,5,5,5,0,10
"362",78,6,5,5,6,5,1,1
"363",78,5,5,6,5,6,1,2
"364",78,5,5,5,6,5,1,3
"365",78,5,4,4,5,4,1,4
"366",78,5,5,6,6,6,1,5
"367",78,5,4,4,5,5,1,6
"368",79,2,2,2,3,4,1,1
"369",79,4,5,4,5,4,1,2
